Año,Fallecidos_Transito,AVPP_Años,AVD_Años,Costo_Porcentaje_PIB,PIB_Millones_Colones
2011,650,31012.0,16887.0,0.17,23204200
2012,675,32420.0,17653.0,0.167,24634500
2013,650,31324.0,17055.0,0.151,26138600
2014,650,31421.0,17108.0,0.143,27720400
2015,650,31518.0,17160.0,0.134,29385000
2016,680,33075.0,18007.0,0.133,31137700
2017,458,22346.0,12166.0,0.084,32985100
2018,458,22410.0,12200.0,0.08,34932700
2019,792,38863.0,21157.0,0.13,36987700
2020,585,28788.0,15672.0,0.099,35867000
2021,730,36026.0,19611.0,0.119,37293532
2022,855,42314.0,23034.0,0.133,38990944
2023,936,46444.0,25282.0,0.139,40984131
2024,900,44775.0,24373.0,0.128,42755147
2025,450,22446.0,12218.0,0.062,44385031
