"Tipo.de.accidente","Año","Hora","Hora.recodificada","Provincia","Cantón","Distrito","Ruta","Kilómetro","Rural.o.urbano","Calzada.vertical","Calzada.horizontal","Tipo.de.calzada","Tipo.de.circulación","Estado.del.tiempo","Estado.de.la.calzada","Región.Mideplan","Tipo.ruta","Día","Mes","Clase.aproximada"
"Atropello a persona",2017,"13:00-13:59","12:00-17:59","Heredia","Santo Domingo","San Vicente","Cantonal","Cantonal","Urbana","Plano","Recta","Asfalto","De frente","Buen tiempo","Buena","Central","Cantonal","4.Miércoles","A. Enero","Fallecido"
"Salió de la vía",2017,"06:00-06:59","06:00-11:59","Heredia","Heredia","Heredia","3","5","Urbana","Pendiente","Desconocida","Asfalto","De Costado","Buen tiempo","Buena","Central","Nacional","5.Jueves","A. Enero","Fallecido"
"Colisión con motocicleta",2017,"14:00-14:59","12:00-17:59","Heredia","Heredia","Ulloa","Cantonal","Cantonal","Urbana","Pendiente","Curva","Asfalto","De frente","Buen tiempo","Buena","Central","Cantonal","4.Miércoles","C. Marzo","Fallecido"
"Colisión con motocicleta",2017,"18:00-18:59","18:00-23:59","Heredia","Heredia","Ulloa","106","3","Urbana","Plano","Recta","Adoquin","Angulo recto","Buen tiempo","Buena","Central","Nacional","3.Martes","G. Julio","Fallecido"
"Colisión con motocicleta",2017,"20:00-20:59","18:00-23:59","Heredia","Heredia","Heredia","Cantonal","Cantonal","Urbana","Plano","Desconocida","Asfalto","Angulo recto","Buen tiempo","Buena","Central","Cantonal","3.Martes","H. Agosto","Fallecido"
"Colisión entre vehículos",2017,"17:00-17:59","12:00-17:59","Heredia","Heredia","Heredia","Cantonal","Cantonal","Urbana","Plano","Desconocida","Adoquin","Angulo recto","Buen tiempo","Buena","Central","Cantonal","6.Viernes","H. Agosto","Fallecido"
"Colisión con motocicleta",2017,"07:00-07:59","06:00-11:59","Heredia","Heredia","San Francisco","3","3","Urbana","Plano","Recta","Asfalto","De frente","Buen tiempo","Buena","Central","Nacional","2.Lunes","H. Agosto","Fallecido"
"Colisión con motocicleta",2017,"06:00-06:59","06:00-11:59","Heredia","Heredia","Ulloa","106","0","Urbana","Plano","Recta","Asfalto","De Costado","Buen tiempo","Construcción o reparación","Central","Nacional","4.Miércoles","I. Setiembre","Fallecido"
"Atropello a persona",2017,"06:00-06:59","06:00-11:59","Heredia","Heredia","Heredia","3","6","Urbana","Plano","Desconocida","Asfalto","De frente","Buen tiempo","Buena","Central","Nacional","6.Viernes","I. Setiembre","Fallecido"
"Colisión con motocicleta",2017,"13:00-13:59","12:00-17:59","Heredia","San Rafael","Santiago","113","1","Urbana","Pendiente","Desconocida","Asfalto","Angulo recto","Buen tiempo","Buena","Central","Nacional","6.Viernes","I. Setiembre","Fallecido"
"Colisión con motocicleta",2017,"14:00-14:59","12:00-17:59","Heredia","Heredia","Ulloa","106","2","Urbana","Plano","Recta","Asfalto","Angulo recto","Buen tiempo","Buena","Central","Nacional","3.Martes","L. Diciembre","Fallecido"
"Atropello a persona",2017,"21:00-21:59","18:00-23:59","Alajuela","Alajuela","San José","Cantonal","Cantonal","Urbana","Plano","Recta","Asfalto","Angulo recto","Buen tiempo","Buena","Central","Cantonal","5.Jueves","A. Enero","Fallecido"
"Colisión con motocicleta",2017,"16:00-16:59","12:00-17:59","Alajuela","Alajuela","Alajuela","Cantonal","Cantonal","Urbana","Plano","Desconocida","Asfalto","Angulo recto","Buen tiempo","Buena","Central","Cantonal","2.Lunes","D. Abril","Fallecido"
"Salió de la vía",2017,"18:00-18:59","18:00-23:59","Alajuela","Alajuela","Guácima","Cantonal","Cantonal","Urbana","Plano","Desconocida","Asfalto","De Costado","Buen tiempo","Buena","Central","Cantonal","3.Martes","D. Abril","Fallecido"
"Colisión entre vehículos",2017,"23:00-23:59","18:00-23:59","Alajuela","Naranjo","San José","141","11","Rural","Plano","Desconocida","Asfalto","De frente","Buen tiempo","Buena","Central","Nacional","4.Miércoles","K. Noviembre","Fallecido"
"Salió de la vía",2017,"23:00-23:59","18:00-23:59","Limón","Pococí","Cariari","814","5","Urbana","Plano","Recta","Asfalto","Otro","Lluvia","Buena","Huetar caribe","Nacional","1.Domingo","F. Junio","Fallecido"
"Colisión con bicicleta",2017,"18:00-18:59","18:00-23:59","Limón","Pococí","Guápiles","32","59","Urbana","Plano","Recta","Asfalto","De frente","Lluvia","Buena","Huetar caribe","Nacional","4.Miércoles","I. Setiembre","Fallecido"
"Colisión entre vehículos",2017,"13:00-13:59","12:00-17:59","Limón","Guácimo","Guácimo","Cantonal","Cantonal","Rural","Plano","Recta","Asfalto","De Costado","Buen tiempo","Buena","Huetar caribe","Cantonal","2.Lunes","J. Octubre","Fallecido"
"Atropello a persona",2017,"07:00-07:59","06:00-11:59","Heredia","Santo Domingo","San Miguel","Cantonal","Cantonal","Urbana","Plano","Recta","Asfalto","Angulo recto","Buen tiempo","Buena","Central","Cantonal","3.Martes","H. Agosto","Fallecido"
"Colisión con motocicleta",2017,"23:00-23:59","18:00-23:59","Guanacaste","Santa Cruz","Cabo Velas","933","2","Rural","Plano","Recta","Asfalto","De frente","Buen tiempo","Buena","Chorotega","Nacional","1.Domingo","B. Febrero","Fallecido"
"Colisión entre vehículos",2017,"05:00-05:59","00:00-05:59","Guanacaste","Carrillo","Belén","21","42","Rural","Pendiente","Curva","Asfalto","Por detrás","Buen tiempo","Buena","Chorotega","Nacional","6.Viernes","B. Febrero","Fallecido"
"Atropello animal",2017,"06:00-06:59","06:00-11:59","Guanacaste","Santa Cruz","Santa Cruz","21","45","Rural","Plano","Recta","Asfalto","De frente","Buen tiempo","Buena","Chorotega","Nacional","5.Jueves","C. Marzo","Fallecido"
"Salió de la vía",2017,"04:00-04:59","00:00-05:59","Guanacaste","Santa Cruz","Diriá","21","63","Rural","Plano","Recta","Asfalto","De frente","Buen tiempo","Buena","Chorotega","Nacional","2.Lunes","C. Marzo","Fallecido"
"Atropello animal",2017,"01:00-01:59","00:00-05:59","Guanacaste","Santa Cruz","Santa Cruz","160","222","Urbana","Plano","Recta","Asfalto","De frente","Buen tiempo","Buena","Chorotega","Nacional","4.Miércoles","C. Marzo","Fallecido"
"Colisión con motocicleta",2017,"03:00-03:59","00:00-05:59","Guanacaste","Santa Cruz","Veintisiete de Abril","152","4","Rural","Plano","Recta","Asfalto","Por detrás","Buen tiempo","Buena","Chorotega","Nacional","5.Jueves","C. Marzo","Fallecido"
"Vuelco",2017,"00:00-00:59","00:00-05:59","Guanacaste","Santa Cruz","Santa Cruz","21","64","Rural","Pendiente","Recta","Asfalto","De frente","Buen tiempo","Buena","Chorotega","Nacional","4.Miércoles","D. Abril","Fallecido"
"Salió de la vía",2017,"23:00-23:59","18:00-23:59","Guanacaste","Carrillo","Belén","21","40","Rural","Plano","Curva","Asfalto","De Costado","Buen tiempo","Buena","Chorotega","Nacional","2.Lunes","E. Mayo","Fallecido"
"Colisión con bicicleta",2017,"02:00-02:59","00:00-05:59","Guanacaste","Santa Cruz","Santa Cruz","21","54","Urbana","Plano","Recta","Asfalto","De Costado","Buen tiempo","Buena","Chorotega","Nacional","1.Domingo","G. Julio","Fallecido"
"Colisión con motocicleta",2017,"03:00-03:59","00:00-05:59","Guanacaste","Santa Cruz","Cabo Velas","933","1","Rural","Plano","Desconocida","Asfalto","De frente","Buen tiempo","Buena","Chorotega","Nacional","2.Lunes","G. Julio","Fallecido"
"Colisión con objeto fijo",2017,"23:00-23:59","18:00-23:59","Guanacaste","Santa Cruz","Santa Cruz","Cantonal","Cantonal","Rural","Plano","Recta","Asfalto","De Costado","Buen tiempo","Buena","Chorotega","Cantonal","3.Martes","H. Agosto","Fallecido"
"Colisión entre vehículos",2017,"01:00-01:59","00:00-05:59","Guanacaste","Santa Cruz","Santa Cruz","160","223","Urbana","Plano","Recta","Asfalto","Por detrás","Buen tiempo","Buena","Chorotega","Nacional","6.Viernes","I. Setiembre","Fallecido"
"Colisión con motocicleta",2017,"05:00-05:59","00:00-05:59","Alajuela","Alajuela","Río Segundo","1","15","Urbana","Plano","Recta","Asfalto","Angulo recto","Buen tiempo","Buena","Central","Nacional","5.Jueves","F. Junio","Fallecido"
"Vuelco",2017,"16:00-16:59","12:00-17:59","Alajuela","Atenas","San Isidro","Cantonal","Cantonal","Rural","Pendiente","Recta","Concreto","Otro","Buen tiempo","Buena","Central","Cantonal","1.Domingo","B. Febrero","Fallecido"
"Colisión con bicicleta",2017,"18:00-18:59","18:00-23:59","Alajuela","Alajuela","San Antonio","Cantonal","Cantonal","Urbana","Plano","Recta","Asfalto","De frente","Buen tiempo","Buena","Central","Cantonal","7.Sábado","C. Marzo","Fallecido"
"Colisión con motocicleta",2017,"15:00-15:59","12:00-17:59","Alajuela","Alajuela","Guácima","Cantonal","Cantonal","Urbana","Plano","Recta","Asfalto","Otro","Buen tiempo","Buena","Central","Cantonal","2.Lunes","C. Marzo","Fallecido"
